软件名称,简介,价格,下载链接,教程链接,图标URL
小蜜蜂4.3.1,多平台场控，包括斗，块，蝴蝶，pdd，tb，xhs等,15,https://pan.baidu.com/s/1TCE-nDYu5fFJ0LESoqXi4A?pwd=1111,https://penluxqoxu.feishu.cn/docx/SZXLdEcE7oWr0VxFGyBctl3inFc,https://s21.ax1x.com/2025/06/21/pVZKIjf.jpg
小海豚,保护抖音的软件，代替手动屏蔽不喜欢的人,35,https://mofang8.lanzoue.com/b00g2szeif,https://oao6uyutqv1.feishu.cn/docx/ZaUuda72BoTeqhxTE5ScUz6nnOg?from=from_copylink,https://s21.ax1x.com/2025/06/21/pVZKTu8.jpg
咕噜猫数字人,ai软件数字人软件，音频互动，弹幕等功能,99,https://pan.baidu.com/s/13cS6V7k-toCIx0JhuUhqAw?pwd=1111,,https://s21.ax1x.com/2025/06/05/pVP27Hs.jpg
多玩ai即守,滑块九宫格活体通知功能,25,https://hcnydh4xlnv7.feishu.cn/wiki/CycTwykkViS1oYklIRycPsICn8d?from=from_copylink,https://hcnydh4xlnv7.feishu.cn/wiki/CycTwykkViS1oYklIRycPsICn8d?from=from_copylink,https://s21.ax1x.com/2025/06/04/pVPsUbt.jpg
吉米哥ai音频剪辑,音频切碎工具，ai智能断句，不破句,99,https://pan.baidu.com/s/1_zFpHgirssTGOdNF3DcWjw?pwd=1111 ,,https://s21.ax1x.com/2025/06/05/pVPoJFH.jpg
码叔,码叔ai音频，实时泛化，可实现无话术开播,1120,https://www.yuque.com/guangongqimuma/qryfzk/kprcrco256o3tag2?singleDoc#,https://www.yuque.com/guangongqimuma/qryfzk/kprcrco256o3tag2?singleDoc#,https://s21.ax1x.com/2025/06/22/pVZMk59.jpg
宝子哥慧播,"宝子哥直播软件ai直播工具云端配置：不吃显卡配置，CPU至少要I5 10代以上，运行内存16G以上

本地端配置要求：显卡20系以上，显存8G以上（3050显卡不支持），CPU至少要I5 10代以上，运行内存16G以上

必须英伟达显卡！AMD显卡本机模式无法使用，可以使用云端模式

E5洋垃圾只能发挥显卡的50%性能。
",99,https://pan.baidu.com/s/1zTyoqQ3jpvfugHKF7G7cEA?pwd=6666,https://www.yuque.com/cuantianhou-tcb0w/ihe9zl/wy4589ura5euqcu6?singleDoc,https://s21.ax1x.com/2025/06/04/pVPsNDI.jpg
宝子哥智管,直播智能管家,48,https://wwsl.lanzoul.com/b007tp3zxe ,https://www.yuque.com/yuqueyonghur4z1bd/dsxm84/ua3q1hf737d4pnd4,https://s21.ax1x.com/2025/06/04/pVPstKA.jpg
小云朵,各种平台场控都有,20,https://wwnw.lanzouo.com/b00wm5g9ef,https://www.yuque.com/macs/yyxkxr/kcyocv,https://s21.ax1x.com/2025/06/05/pVP22Nt.jpg
一点通,"1.滑块验证 2.罗盘验证 3.九宫格验证 4.语音验证5.自动上下播 6.违规自动下播 7.活体摄像头验证8.活体二维码发送 9.违规通知 10.滑块验证通知
11.语音验证通知 12.活体验证微信语音通知 13.出现活体电脑声音提醒(本地MP3)",18,https://penluxqoxu.feishu.cn/docx/QlEKdNKSUoakuLxNSkPc6D6LnLd,https://penluxqoxu.feishu.cn/docx/QlEKdNKSUoakuLxNSkPc6D6LnLd,https://s21.ax1x.com/2025/06/22/pVZMrPs.jpg
,,免费下载,,,
,,免费下载,,,
,,免费下载,,,
,,免费下载,,,
,,免费下载,,,
,,免费下载,,,
,,免费下载,,,
